name,molecularComplexNumber,chain,chainAtoms,chainTD,plane,planeAtoms,planeTD,framework,frameworkAtoms,frameworkTD,dimensionType_str,dimensionType,dimensionNumber
-HOS/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA5'; 'ZA7'; 'ZA10'; 'ZA13']],[4514],3D,[1; 1; 1],3
-IFU/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA5'; 'ZA6'; 'ZA7'; 'ZA8']],[1924],3D,[1; 1; 1],3
-IRY/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA4'; 'ZA5'; 'ZA6']],[886],3D,[1; 1; 1],3
-ITR/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA4'; 'ZA6'; 'ZA8'; 'ZA10']],[495],3D,[1; 1; 1],3
-SSO/NT,1,[[[0; 1; 0]]],[['ZA5'; 'ZA10']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
-SYT/NT,2,[[[0; 0; 1]]],[['ZA3']],[21],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4']],[3922],1D3D,[1; 1; 1],3
ABW/PPT 1,0,[[[0; 1; 0]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
ACO/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[1169],3D,[1; 1; 1],3
AEI/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[1561],3D,[1; 1; 1],3
AEL/PPT 1,2,[[[0; 0; 1]]; [[1; 0; 0]]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA6']; ['ZA5']],[21; 21],[],[],[],[],[],[],1D,[1; 0; 1],2
